,index,Population,CO2 Emissions | Electric Heat,CO2 Emissions | Gas Fuel,CO2 Emissions | Liquid Fuel,CO2 Emissions | Manufacture and Construct,CO2 Emissions | Other,CO2 Emissions | Residential Commercial Public Service,CO2 Emissions | Intensity,GDP Per Capita,Energy Use,CO2 Emissions | Total,Electric Power Consumption,Energy Use Per Capita,Road Sector Gasoline Consumption,CODE
0,Albania,2873457.0,0.13,58.672,3861.351,0.87,0.25,0.31,0.13,4537.8624924478,808.45583959594,1.9787633120857,2309.3665025558,808.45583959594,38.524926511052,ALB
1,Algeria,41318142.0,39.6,73893.717,52885.474,13.51,3.92,14.5,39.6,4123.3899365071,1321.0994936686,3.7174099008182,1356.2645537083,1321.0994936686,77.324442929027,DZA
2,Angola,29784193.0,2.4,579.386,19471.77,2.71,0.05,3.74,2.4,4170.3122802494,545.04049075525,1.2913283150448,312.47601731708,545.04049075525,47.124722937847,AGO
3,Argentina,44271041.0,67.32,96691.456,94186.895,35.89,8.61,24.88,67.32,14401.974854608,2015.1870402893,4.7467974546733,3052.3819367465,2015.1870402893,125.6361049046,ARG
4,Armenia,2930450.0,0.94,4459.072,858.078,0.61,0.71,1.12,0.94,3936.7983196529,1018.0712403053,1.9027589101995,1965.7837328213,1018.0712403053,55.328394262041,ARM
5,Australia,24598933.0,241.7,72606.6,120196.926,49.91,6.45,12.69,241.7,53799.93808996,5475.817650271,15.370137760423,10059.207446791,5475.817650271,580.08057296329,AUS
6,Austria,8809212.0,24.69,14759.675,30285.753,12.16,0.78,9.24,24.69,47290.911649832,3800.2994203547,6.8698679296767,8355.8419518213,3800.2994203547,197.3546389106,AUT
7,Azerbaijan,9862429.0,11.7,21202.594,11639.058,2.07,1.09,6.14,11.7,4131.6183100505,1502.0781684137,3.9315606089892,2202.3939182885,1502.0781684137,123.62257308939,AZE
8,Bahrain,1492584.0,12.73,28375.246,2214.868,6.78,0.0,0.23,12.73,23655.035602401,10593.997143065,23.449754825849,19592.231949039,10593.997143065,462.57476229227,BHR
9,Bangladesh,164669751.0,25.04,45969.512,15232.718,12.09,1.71,6.86,25.04,1516.513423072,222.22095919421,0.45914196480281,310.39122612746,222.22095919421,2.7214011793388,BGD
10,Belarus,9507875.0,33.01,38840.864,18599.024,14.59,2.21,5.23,33.01,5726.0296725093,2928.5202159774,6.7019577052578,3679.9788400689,2928.5202159774,111.58028079806,BLR
11,Belgium,11372068.0,24.23,28855.623,49662.181,33.4,3.44,21.16,24.23,43323.807336471,4687.7870492938,8.3281598978398,7709.1230778825,4687.7870492938,110.97288278946,BEL
12,Benin,11175692.0,0.11,0.0,5438.161,0.15,-0.01,1.15,0.11,829.79723060079,416.79576525521,0.61421385181193,100.22638915136,416.79576525521,63.089256983403,BEN
13,Bolivia,11051600.0,4.41,7854.714,10623.299,1.73,1.9,1.32,4.41,3393.9558175178,788.80435335238,1.9324194987029,752.68702165911,788.80435335238,78.067150340769,BOL
14,Bosnia and Herzegovina,3507017.0,16.09,348.365,4096.039,1.75,1.04,0.56,16.09,5180.6363009347,2194.0559764128,6.234719161683,3365.6739396108,2194.0559764128,59.385485249739,BIH
15,Botswana,2291661.0,0.66,0.0,3003.273,1.31,0.45,0.14,0.66,7595.5958497856,1252.6799881766,3.2432876366163,1748.615333678,1252.6799881766,194.29194428351,BWA
16,Brazil,209288278.0,63.41,78096.099,339028.818,125.22,17.57,19.91,63.41,9821.4076864101,1484.9266378965,2.5943882854978,2601.3655057141,1484.9266378965,101.68830514519,BRA
17,Brunei Darussalam,428697.0,5.13,6776.616,1690.487,2.4,0.0,0.1,5.13,28290.585195571,8632.3256514389,22.124701241669,10242.795795037,8632.3256514389,602.68823552564,BRN
18,Bulgaria,7075991.0,35.06,5412.492,11067.006,4.32,0.51,1.45,35.06,8031.598442457,2477.655400697,5.8716158693499,4708.9274575723,2477.655400697,73.077848457499,BGR
19,Cambodia,16005373.0,0.83,0.0,5067.794,0.62,0.0,0.56,0.83,1384.4231873034,416.93966062005,0.43775999800927,271.43323953771,416.93966062005,11.365299767997,KHM
20,Cameroon,24053727.0,1.59,1272.449,5082.462,0.37,8.673617379884e-18,0.37,1.59,1446.7028948332,341.86267170937,0.31492806803483,280.66667913674,341.86267170937,16.827161231431,CMR
21,Canada,36708083.0,165.62,203283.812,248318.239,101.41,20.25,76.54,165.62,45032.11990817,7603.7392632775,15.117158779478,15545.535110561,7603.7392632775,886.47453700603,CAN
22,Chile,18054726.0,31.91,8151.741,46240.87,15.79,1.14,5.82,31.91,15346.449699759,2028.8860110701,4.6873766237128,3911.6492649683,2028.8860110701,148.19352097926,CHL
23,China,1386395000.0,4266.04,353880.168,1264106.575,2487.49,123.69,454.0,4266.04,8826.9940957484,2236.7299075696,7.5439076414493,3927.044499989,2236.7299075696,54.703786092119,CHN
24,Colombia,49065615.0,13.88,22684.062,39808.952,20.57,3.08,5.33,13.88,6301.5898778272,711.58317983978,1.7595371735606,1289.5696930805,711.58317983978,65.804577143781,COL
25,"Congo, Dem. Rep.",81339988.0,0.03,3.667,4503.076,1.15,0.0,0.35,0.03,457.84738680634,389.5673879174,0.063369191048747,108.58233117923,389.5673879174,3.7853007449597,COD
26,"Congo, Rep.",5260750.0,0.3,451.041,2412.886,0.09,0.0,0.1,0.3,1658.0436251172,539.5316171847,0.63536929330761,197.28599345405,539.5316171847,28.636619988976,COG
27,Costa Rica,4905769.0,0.67,0.0,6780.283,0.99,0.17,0.26,0.67,11630.668396339,1031.1414954047,1.6309510622534,1957.9302480781,1031.1414954047,150.70667499705,CRI
28,Cote d'Ivoire,24294750.0,2.77,3784.344,5966.209,0.48,0.6,0.49,2.77,1662.4424666692,615.80331404909,0.49020604624224,276.14856633091,615.80331404909,7.0655144411379,CIV
29,Croatia,4125700.0,6.36,4624.087,8591.781,3.35,0.72,2.54,6.36,13294.514925679,1897.8406654038,3.9738049055903,3714.3829884421,1897.8406654038,145.30598590579,HRV
30,Cuba,11484636.0,17.3,2306.543,31737.885,7.46,1.21,0.64,17.3,7602.261218319,1022.6689057566,3.045210623608,1434.0327036381,1022.6689057566,22.34824543659,CUB
31,Cyprus,1179551.0,3.61,0.0,5687.517,0.53,0.27,0.37,3.61,25233.570984591,1712.124091715,5.260352040989,3624.8957527885,1712.124091715,344.82357124369,CYP
32,Czech Republic,10591323.0,65.36,14158.287,19075.734,19.4,1.37,10.01,65.36,20368.138557607,3860.0029641404,9.1659783758198,6258.8910370366,3860.0029641404,161.67928470112,CZE
33,Denmark,5769603.0,20.24,6442.919,16890.202,3.98,1.76,3.39,20.24,56307.508299526,2816.6145653994,5.9357124821143,5858.8015362875,2816.6145653994,244.49912863526,DNK
34,Dominican Republic,10766998.0,9.67,1899.506,14440.646,1.0,0.07,2.35,9.67,7052.2588389686,734.40789617834,2.0699866344335,1578.1516617009,734.40789617834,70.558569624063,DOM
35,Ecuador,16624858.0,8.0,2009.516,37088.038,3.8,0.28,2.83,8.0,6198.9473233395,891.68862044108,2.7617021750208,1380.6102855844,891.68862044108,165.21845270394,ECU
36,"Egypt, Arab Rep.",97553151.0,86.05,93526.835,82434.16,40.33,7.0,15.11,86.05,2412.7270818521,814.98805947761,2.1989802463423,1657.7687198068,814.98805947761,71.354377630744,EGY
37,El Salvador,6377853.0,1.45,0.0,5786.526,0.98,1.7347234759768e-17,0.51,1.45,3889.3087689541,647.30960969332,1.0006446231756,939.15339914147,647.30960969332,74.325769367617,SLV
